id,,lablel
60001,0,9
60002,0,2
60003,0,1
60004,0,1
60005,0,6
60006,0,1
60007,0,4
60008,0,6
60009,0,5
60010,0,7
60011,0,4
60012,0,5
60013,0,5
60014,0,3
60015,0,4
60016,0,1
60017,0,2
60018,0,2
60019,0,8
60020,0,0
60021,0,2
60022,0,5
60023,0,7
60024,0,5
60025,0,1
60026,0,2
60027,0,6
60028,0,0
60029,0,9
60030,0,3
60031,0,8
60032,0,8
60033,0,3
60034,0,3
60035,0,8
60036,0,0
60037,0,7
60038,0,5
60039,0,7
60040,0,9
60041,0,6
60042,0,1
60043,0,6
60044,0,7
60045,0,6
60046,0,7
60047,0,2
60048,0,1
60049,0,2
60050,0,2
60051,0,4
60052,0,4
60053,0,5
60054,0,8
60055,0,2
60056,0,2
60057,0,8
60058,0,4
60059,0,8
60060,0,0
60061,0,7
60062,0,7
60063,0,8
60064,0,5
60065,0,1
60066,0,1
60067,0,6
60068,0,4
60069,0,7
60070,0,8
60071,0,7
60072,0,0
60073,0,2
60074,0,6
60075,0,2
60076,0,3
60077,0,1
60078,0,2
60079,0,8
60080,0,4
60081,0,1
60082,0,8
60083,0,5
60084,0,9
60085,0,5
60086,0,0
60087,0,3
60088,0,2
60089,0,0
60090,0,2
60091,0,5
60092,0,3
60093,0,6
60094,0,7
60095,0,1
60096,0,8
60097,0,0
60098,0,1
60099,0,2
60100,0,2
60101,0,3
60102,0,6
60103,0,7
60104,0,2
60105,0,7
60106,0,8
60107,0,5
60108,0,9
60109,0,9
60110,0,4
60111,0,2
60112,0,5
60113,0,7
60114,0,0
60115,0,5
60116,0,2
60117,0,8
60118,0,6
60119,0,7
60120,0,8
60121,0,0
60122,0,0
60123,0,9
60124,0,9
60125,0,3
60126,0,0
60127,0,8
60128,0,4
60129,0,1
60130,0,5
60131,0,4
60132,0,1
60133,0,9
60134,0,1
60135,0,8
60136,0,6
60137,0,2
60138,0,1
60139,0,2
60140,0,5
60141,0,1
60142,0,0
60143,0,0
60144,0,0
60145,0,1
60146,0,6
60147,0,1
60148,0,3
60149,0,2
60150,0,2
60151,0,3
60152,0,4
60153,0,1
60154,0,3
60155,0,5
60156,0,0
60157,0,4
60158,0,7
60159,0,9
60160,0,3
60161,0,7
60162,0,2
60163,0,3
60164,0,9
60165,0,0
60166,0,9
60167,0,4
60168,0,7
60169,0,4
60170,0,2
60171,0,0
60172,0,5
60173,0,2
60174,0,1
60175,0,2
60176,0,1
60177,0,3
60178,0,0
60179,0,9
60180,0,1
60181,0,0
60182,0,9
60183,0,3
60184,0,6
60185,0,7
60186,0,9
60187,0,9
60188,0,4
60189,0,4
60190,0,7
60191,0,1
60192,0,2
60193,0,1
60194,0,6
60195,0,3
60196,0,2
60197,0,8
60198,0,3
60199,0,6
60200,0,1
60201,0,1
60202,0,0
60203,0,2
60204,0,9
60205,0,2
60206,0,4
60207,0,0
60208,0,7
60209,0,9
60210,0,8
60211,0,4
60212,0,1
60213,0,8
60214,0,4
60215,0,1
60216,0,3
60217,0,1
60218,0,6
60219,0,7
60220,0,2
60221,0,8
60222,0,5
60223,0,3
60224,0,0
60225,0,7
60226,0,7
60227,0,6
60228,0,2
60229,0,7
60230,0,0
60231,0,7
60232,0,8
60233,0,9
60234,0,2
60235,0,9
60236,0,0
60237,0,5
60238,0,1
60239,0,4
60240,0,4
60241,0,5
60242,0,4
60243,0,9
60244,0,2
60245,0,2
60246,0,8
60247,0,6
60248,0,4
60249,0,2
60250,0,2
60251,0,9
60252,0,7
60253,0,6
60254,0,5
60255,0,5
60256,0,2
60257,0,8
60258,0,5
60259,0,2
60260,0,3
60261,0,0
60262,0,4
60263,0,8
60264,0,0
60265,0,0
60266,0,6
60267,0,3
60268,0,8
60269,0,9
60270,0,6
60271,0,1
60272,0,3
60273,0,0
60274,0,2
60275,0,3
60276,0,0
60277,0,8
60278,0,3
60279,0,7
60280,0,4
60281,0,0
60282,0,1
60283,0,6
60284,0,3
60285,0,0
60286,0,6
60287,0,6
60288,0,7
60289,0,5
60290,0,4
60291,0,5
60292,0,9
60293,0,5
60294,0,6
60295,0,5
60296,0,5
60297,0,1
60298,0,9
60299,0,8
60300,0,8
60301,0,3
60302,0,3
60303,0,6
60304,0,8
60305,0,0
60306,0,0
60307,0,2
60308,0,9
60309,0,7
60310,0,7
60311,0,1
60312,0,3
60313,0,6
60314,0,4
60315,0,2
60316,0,4
60317,0,7
60318,0,1
60319,0,6
60320,0,4
60321,0,8
60322,0,2
60323,0,6
60324,0,5
60325,0,6
60326,0,2
60327,0,7
60328,0,7
60329,0,7
60330,0,3
60331,0,3
60332,0,7
60333,0,3
60334,0,7
60335,0,1
60336,0,3
60337,0,7
60338,0,2
60339,0,2
60340,0,3
60341,0,4
60342,0,0
60343,0,3
60344,0,1
60345,0,6
60346,0,1
60347,0,9
60348,0,4
60349,0,9
60350,0,9
60351,0,1
60352,0,7
60353,0,8
60354,0,3
60355,0,6
60356,0,0
60357,0,2
60358,0,4
60359,0,8
60360,0,0
60361,0,1
60362,0,2
60363,0,2
60364,0,4
60365,0,4
60366,0,7
60367,0,3
60368,0,2
60369,0,2
60370,0,5
60371,0,0
60372,0,7
60373,0,9
60374,0,4
60375,0,0
60376,0,9
60377,0,3
60378,0,9
60379,0,3
60380,0,2
60381,0,5
60382,0,6
60383,0,0
60384,0,3
60385,0,5
60386,0,8
60387,0,1
60388,0,6
60389,0,2
60390,0,2
60391,0,6
60392,0,4
60393,0,9
60394,0,5
60395,0,2
60396,0,6
60397,0,6
60398,0,6
60399,0,1
60400,0,2
60401,0,0
60402,0,9
60403,0,7
60404,0,0
60405,0,4
60406,0,4
60407,0,6
60408,0,6
60409,0,2
60410,0,1
60411,0,6
60412,0,6
60413,0,7
60414,0,2
60415,0,9
60416,0,4
60417,0,2
60418,0,1
60419,0,5
60420,0,4
60421,0,5
60422,0,3
60423,0,8
60424,0,5
60425,0,8
60426,0,4
60427,0,4
60428,0,8
60429,0,9
60430,0,8
60431,0,6
60432,0,2
60433,0,4
60434,0,4
60435,0,2
60436,0,4
60437,0,1
60438,0,6
60439,0,1
60440,0,3
60441,0,0
60442,0,7
60443,0,8
60444,0,8
60445,0,4
60446,0,5
60447,0,3
60448,0,1
60449,0,9
60450,0,5
60451,0,3
60452,0,3
60453,0,6
60454,0,1
60455,0,6
60456,0,2
60457,0,9
60458,0,4
60459,0,0
60460,0,6
60461,0,6
60462,0,4
60463,0,2
60464,0,0
60465,0,0
60466,0,3
60467,0,3
60468,0,8
60469,0,2
60470,0,8
60471,0,9
60472,0,4
60473,0,0
60474,0,7
60475,0,0
60476,0,4
60477,0,6
60478,0,9
60479,0,4
60480,0,9
60481,0,5
60482,0,9
60483,0,3
60484,0,7
60485,0,5
60486,0,7
60487,0,8
60488,0,1
60489,0,0
60490,0,0
60491,0,3
60492,0,6
60493,0,8
60494,0,9
60495,0,7
60496,0,9
60497,0,1
60498,0,2
60499,0,7
60500,0,0
60501,0,2
60502,0,0
60503,0,5
60504,0,7
60505,0,1
60506,0,8
60507,0,2
60508,0,2
60509,0,2
60510,0,2
60511,0,4
60512,0,4
60513,0,6
60514,0,1
60515,0,9
60516,0,8
60517,0,5
60518,0,1
60519,0,9
60520,0,1
60521,0,2
60522,0,8
60523,0,3
60524,0,8
60525,0,9
60526,0,2
60527,0,4
60528,0,2
60529,0,8
60530,0,2
60531,0,2
60532,0,0
60533,0,5
60534,0,8
60535,0,8
60536,0,5
60537,0,3
60538,0,9
60539,0,4
60540,0,3
60541,0,4
60542,0,4
60543,0,5
60544,0,1
60545,0,0
60546,0,1
60547,0,2
60548,0,0
60549,0,4
60550,0,9
60551,0,6
60552,0,1
60553,0,5
60554,0,1
60555,0,1
60556,0,1
60557,0,9
60558,0,3
60559,0,6
60560,0,5
60561,0,3
60562,0,6
60563,0,6
60564,0,6
60565,0,4
60566,0,0
60567,0,0
60568,0,5
60569,0,8
60570,0,2
60571,0,3
60572,0,4
60573,0,0
60574,0,7
60575,0,7
60576,0,8
60577,0,9
60578,0,6
60579,0,3
60580,0,8
60581,0,7
60582,0,6
60583,0,7
60584,0,9
60585,0,3
60586,0,4
60587,0,6
60588,0,6
60589,0,5
60590,0,0
60591,0,1
60592,0,1
60593,0,5
60594,0,9
60595,0,4
60596,0,6
60597,0,5
60598,0,7
60599,0,8
60600,0,1
60601,0,2
60602,0,9
60603,0,7
60604,0,7
60605,0,1
60606,0,0
60607,0,9
60608,0,3
60609,0,2
60610,0,9
60611,0,0
60612,0,7
60613,0,6
60614,0,8
60615,0,2
60616,0,7
60617,0,0
60618,0,2
60619,0,3
60620,0,8
60621,0,2
60622,0,2
60623,0,6
60624,0,9
60625,0,3
60626,0,0
60627,0,7
60628,0,8
60629,0,6
60630,0,2
60631,0,9
60632,0,4
60633,0,2
60634,0,6
60635,0,4
60636,0,2
60637,0,0
60638,0,4
60639,0,4
60640,0,2
60641,0,7
60642,0,5
60643,0,8
60644,0,4
60645,0,9
60646,0,1
60647,0,0
60648,0,5
60649,0,4
60650,0,4
60651,0,4
60652,0,0
60653,0,0
60654,0,4
60655,0,5
60656,0,6
60657,0,0
60658,0,4
60659,0,5
60660,0,4
60661,0,1
60662,0,3
60663,0,1
60664,0,1
60665,0,4
60666,0,4
60667,0,3
60668,0,8
60669,0,2
60670,0,8
60671,0,6
60672,0,7
60673,0,0
60674,0,4
60675,0,0
60676,0,8
60677,0,5
60678,0,0
60679,0,8
60680,0,2
60681,0,9
60682,0,0
60683,0,8
60684,0,9
60685,0,6
60686,0,4
60687,0,2
60688,0,9
60689,0,6
60690,0,4
60691,0,5
60692,0,0
60693,0,9
60694,0,5
60695,0,3
60696,0,6
60697,0,6
60698,0,8
60699,0,3
60700,0,3
60701,0,8
60702,0,3
60703,0,4
60704,0,0
60705,0,9
60706,0,7
60707,0,9
60708,0,4
60709,0,8
60710,0,9
60711,0,1
60712,0,3
60713,0,7
60714,0,3
60715,0,0
60716,0,2
60717,0,4
60718,0,7
60719,0,1
60720,0,0
60721,0,0
60722,0,8
60723,0,5
60724,0,2
60725,0,6
60726,0,6
60727,0,6
60728,0,4
60729,0,1
60730,0,5
60731,0,9
60732,0,0
60733,0,0
60734,0,1
60735,0,6
60736,0,5
60737,0,0
60738,0,0
60739,0,3
60740,0,3
60741,0,3
60742,0,8
60743,0,1
60744,0,1
60745,0,8
60746,0,5
60747,0,7
60748,0,9
60749,0,8
60750,0,7
60751,0,2
60752,0,0
60753,0,7
60754,0,0
60755,0,8
60756,0,0
60757,0,9
60758,0,7
60759,0,6
60760,0,1
60761,0,0
60762,0,6
60763,0,4
60764,0,8
60765,0,0
60766,0,6
60767,0,3
60768,0,6
60769,0,8
60770,0,4
60771,0,0
60772,0,8
60773,0,9
60774,0,2
60775,0,4
60776,0,5
60777,0,9
60778,0,1
60779,0,4
60780,0,4
60781,0,9
60782,0,2
60783,0,1
60784,0,7
60785,0,9
60786,0,5
60787,0,8
60788,0,3
60789,0,7
60790,0,7
60791,0,1
60792,0,1
60793,0,1
60794,0,6
60795,0,9
60796,0,5
60797,0,3
60798,0,8
60799,0,4
60800,0,2
60801,0,9
60802,0,4
60803,0,8
60804,0,3
60805,0,2
60806,0,4
60807,0,4
60808,0,7
60809,0,1
60810,0,4
60811,0,9
60812,0,3
60813,0,5
60814,0,8
60815,0,5
60816,0,4
60817,0,7
60818,0,2
60819,0,8
60820,0,5
60821,0,9
60822,0,3
60823,0,3
60824,0,6
60825,0,7
60826,0,1
60827,0,7
60828,0,3
60829,0,5
60830,0,4
60831,0,6
60832,0,5
60833,0,8
60834,0,3
60835,0,7
60836,0,1
60837,0,2
60838,0,6
60839,0,1
60840,0,9
60841,0,8
60842,0,2
60843,0,7
60844,0,1
60845,0,3
60846,0,7
60847,0,5
60848,0,9
60849,0,9
60850,0,1
60851,0,8
60852,0,4
60853,0,5
60854,0,7
60855,0,1
60856,0,9
60857,0,8
60858,0,1
60859,0,0
60860,0,0
60861,0,6
60862,0,1
60863,0,7
60864,0,1
60865,0,1
60866,0,5
60867,0,7
60868,0,1
60869,0,5
60870,0,2
60871,0,2
60872,0,3
60873,0,3
60874,0,1
60875,0,1
60876,0,4
60877,0,9
60878,0,4
60879,0,3
60880,0,7
60881,0,7
60882,0,0
60883,0,8
60884,0,9
60885,0,9
60886,0,6
60887,0,1
60888,0,3
60889,0,4
60890,0,0
60891,0,3
60892,0,5
60893,0,9
60894,0,4
60895,0,0
60896,0,5
60897,0,5
60898,0,1
60899,0,5
60900,0,7
60901,0,8
60902,0,7
60903,0,9
60904,0,3
60905,0,6
60906,0,2
60907,0,0
60908,0,4
60909,0,0
60910,0,2
60911,0,0
60912,0,2
60913,0,5
60914,0,5
60915,0,1
60916,0,2
60917,0,0
60918,0,9
60919,0,3
60920,0,7
60921,0,8
60922,0,4
60923,0,8
60924,0,3
60925,0,4
60926,0,7
60927,0,0
60928,0,7
60929,0,4
60930,0,8
60931,0,0
60932,0,3
60933,0,4
60934,0,4
60935,0,3
60936,0,6
60937,0,9
60938,0,0
60939,0,2
60940,0,4
60941,0,9
